,id,VIN,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
78,64b8150c3f35c83376286f6f,WVWKP7AU4G,Snohomish,Bothell,WA,98021,2016,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,83,0,1,278608662,POINT (-122.17945799999995 47.80258900000007),PUGET SOUND ENERGY INC,53061051926
79,64b8150c3f35c83376286f70,5YJ3E1EB0J,Chelan,Wenatchee,WA,98801,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,12,474770243,POINT (-120.32009 47.42255000000006),PUD NO 1 OF CHELAN COUNTY,53007961304
80,64b8150c3f35c83376286f71,5YJSA1E2XH,Spokane,Spokane,WA,99201,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,3,9783490,POINT (-117.43189499999994 47.66715500000004),MODERN ELECTRIC WATER COMPANY,53063002300
81,64b8150c3f35c83376286f72,1G1FX6S04H,Snohomish,Edmonds,WA,98020,2017,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,32,104156608,POINT (-122.37507 47.80807000000004),PUGET SOUND ENERGY INC,53061050800
82,64b8150c3f35c83376286f73,5YJ3E1EB4J,Kitsap,Suquamish,WA,98392,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,23,474533321,POINT (-122.55716999999999 47.733415000000036),PUGET SOUND ENERGY INC,53035940100
83,64b8150c3f35c83376286f74,1FADP5CU7D,Skagit,Anacortes,WA,98221,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,10,185904673,POINT (-122.61530499999998 48.50127500000008),PUGET SOUND ENERGY INC,53057940302
84,64b8150c3f35c83376286f75,1G1RA6E41D,Snohomish,Monroe,WA,98272,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,39,211965127,POINT (-121.97221499999995 47.85674000000006),PUGET SOUND ENERGY INC,53061052204
85,64b8150c3f35c83376286f76,5YJSA1CG9D,Snohomish,Lynnwood,WA,98087,2013,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,21,115380450,POINT (-122.2559465 47.86567880000007),PUGET SOUND ENERGY INC,53061041703
86,64b8150c3f35c83376286f77,WBY1Z4C57F,Snohomish,Bothell,WA,98012,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,72,0,1,175251086,POINT (-122.1873 47.82024500000006),PUGET SOUND ENERGY INC,53061052010
87,64b8150c3f35c83376286f78,1N4AZ0CP7F,Kitsap,Poulsbo,WA,98370,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,23,474789269,POINT (-122.64176999999995 47.73752500000006),PUGET SOUND ENERGY INC,53035090501
88,64b8150c3f35c83376286f79,1FADP3R4XD,Snohomish,Edmonds,WA,98026,2013,FORD,FOCUS,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,76,0,32,140460813,POINT (-122.33568499999996 47.803720000000055),PUGET SOUND ENERGY INC,53061050800
89,64b8150c3f35c83376286f7a,1N4BZ0CP7G,Thurston,Olympia,WA,98513,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,2,122774900,POINT (-122.81709 46.988575),PUGET SOUND ENERGY INC,53067012420
90,64b8150c3f35c83376286f7b,5YJ3E1EB2L,Snohomish,Bothell,WA,98012,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322,0,1,101894761,POINT (-122.1873 47.82024500000006),PUGET SOUND ENERGY INC,53061052010
91,64b8150c3f35c83376286f7c,5YJ3E1EC3L,Kitsap,Seabeck,WA,98380,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,308,0,35,3016996,POINT (-122.84746199999995 47.638360000000034),PUGET SOUND ENERGY INC,53035091301
92,64b8150c3f35c83376286f7d,KNDCT3L15P,Kitsap,Bremerton,WA,98312,2023,KIA,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,220754341,POINT (-122.65222999999997 47.571920000000034),PUGET SOUND ENERGY INC,53035091400
93,64b8150c3f35c83376286f7e,1G1RC6S57H,Kitsap,Port Orchard,WA,98367,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,35,132986605,POINT (-122.68516419999997 47.50645300000008),PUGET SOUND ENERGY INC,53035092901
94,64b8150c3f35c83376286f7f,5YJXCDE28K,Kitsap,Port Orchard,WA,98367,2019,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,26,5001370,POINT (-122.68516419999997 47.50645300000008),PUGET SOUND ENERGY INC,53035092102
95,64b8150c3f35c83376286f80,1N4AZ0CP8G,King,Bellevue,WA,98006,2016,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,41,35325,POINT (-122.16936999999996 47.571015000000045),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025007
96,64b8150c3f35c83376286f81,5UXKT0C53J,Yakima,Zillah,WA,98953,2018,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,13,0,15,153996167,POINT (-120.26033999999999 46.40493500000008),PACIFICORP,53077002201
97,64b8150c3f35c83376286f82,5YJSA1H23F,Snohomish,Lynnwood,WA,98036,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,1,7821215,POINT (-122.31667499999998 47.81936500000006),PUGET SOUND ENERGY INC,53061051929
98,64b8150c3f35c83376286f83,5YJSA1E21J,Skagit,Anacortes,WA,98221,2018,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,249,0,40,285304512,POINT (-122.61530499999998 48.50127500000008),PUGET SOUND ENERGY INC,53057940600
99,64b8150c3f35c83376286f84,1G6RL1E40G,Thurston,Rochester,WA,98579,2016,CADILLAC,ELR,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,40,0,35,161629142,POINT (-123.09574999999995 46.82114000000007),PUGET SOUND ENERGY INC,53067012610
